"id","name","isDisable","isSubRecipe","category.label","cost.prodQty","cost.prodCost","cost.baseCost","cost.prodUOM.label","cost.sellPrice","cost.suggestPrice","cost.sellMargin","cost.stdMargin","extra.notes","extra.utensil"
"wJpnYCBRIEsWMRgPTr2G","Boiled Toor Dal",false,true,"Preparation",4.25,171.003,40.236,"KG",0,201.18,0,5,,""
"gkrc6ui29R1fyvU59PY8","Bread Fry",false,false,"Snacks",1,4,4,"NOS",5,0,1.25,5,,""
"XgsyueINMPSizmBuLfJo","Brinjal Kosthu",false,false,"Tiffen Sambar",2.4,143.4857,59.7857,"KG",0,298.9285,0,5,,""
"ICbTJ8awNBfcn0aDvZpB","Brinjal Kosthu Podi",false,true,"Tiffen Sambar",7,77.81,11.1157,"KG",0,55.5785,0,5,,""
"k4TBVtjJVJVaKclbjjm2","Butter",false,false,"Bulk Main Dish",1,500,500,"KG",600,2500,1.2,5,,""
"HU5htadbiBzNwJjuhsAo","CB-Cold Badham Milk ",false,false,"Hot Beverage",10,606.3,60.63,"KG",500,0,8.2467,5,,"Hotbox: TC"
"GWeIo9b3tudbw1Qa2wbc","CCN Powder",false,true,"Powder",10,0,0,"KG",1,0,0,4,,""
"zSTdQZP0abmJNTSga2ru","CCN Powder",false,true,"Powder",10,12154,1215.4,"KG",1,4861.6,0.0008,4,,""
"FzQXDkbvYSHKWGGYLdNe","COMBO - Chappathy",false,false,"Piece Main Dish",100,146.805,1.4681,"NOS",20,7.3405,13.6231,5,,"Hotbox: HB"
"GNGJrAREZsvXx7CqIhvT","Chaat - Channa",false,false,"Snacks",2.3,112.8051,49.0457,"KG",300,240.625,6.2338,5,,""
"2W7jh3W2f0PCo3HsweEt","Chaat - Channa Topping",false,true,"Snacks",1.7,9.75,5.7353,"KG",0,28.6765,0,5,,""
"XnEUgHUDVeBKqYf42vww","Chaat Chutney - Green",false,true,"Chutney",10,516.65,51.665,"KG",0,206.66,0.0211,4,,""
"2oRFIRJFcikdBiBpb9qS","Chaat Chutney - Green",false,false,"Chutney",10,338.4,33.84,"KG",0.01,169.2,0.0003,5,,""
"KqQbItM2g6oBff0dMJEe","Chaat Chutney - Sweet Chutney",false,true,"Snacks",10,709.2,70.92,"KG",0,312.4125,0,5,,""
"zCisxEyYQMrKGA8XNcRe","Chapathy- Live",false,false,"Piece Main Dish",70,166.045,2.3721,"NOS",18,10.703,8.4089,5,,"Hotbox: HB"
"Cf07wn5HwQr92aPtGC8g","Chappathy",false,false,"Piece Main Dish",85,126.805,1.4918,"NOS",25,7.459,16.7583,5,,"Hotbox: HB"
"7InnagBcQcOYemCRE63B","Chappathy - Protein",false,false,"Piece Main Dish",22,50.9906,2.3178,"NOS",25,11.589,10.7861,5,,""
"Dv01BU2jFI6498kHDZFM","Chappathy - Protein Masala",false,true,"Piece Main Dish",22,31.1817,1.4173,"NOS",2,7.0865,1.4111,5,,""
"lOUsjMknYNz1CeKYNIOk","Chat Chutney - Sweet",false,false,"Chutney",1,76.3,76.3,"KG",250,381.5,3.2765,5,,""
"f3zZjAxcxDvuKcaHCFkk","Chettinad Spl. Kozhukattai",false,false,"Piece Main Dish",90,102.019,1.1335,"NOS",15,5.6675,13.2333,5,,""
"HWlc43DtF0eqGI29PQrD","Chinese Veg Gravy",false,false,"Starter",10,272.993,27.2993,"KG",400,136.4965,14.6524,5,,""
"glaEc9JhrMPekRjHuwsm","Chips - Potato",false,false,"Chips",10,3260.474,326.0474,"KG",675,1630.237,2.0703,5,,"Non Insulated: Thooku"
"quBYWWyq35oRRRjIQdrk","Chips - Potato (S)",false,false,"Chips",10,330,33,"KG",675,132,20.4545,4,,"Non Insulated: Thooku"
"gZy6tl3jm15F8oFjnkVP","Chips - Tapaico",false,false,"Chips",0.4,73.246,183.115,"KG",900,935.075,4.9149,5,,""
"OhYkfahZVadmXsZ9L602","Chips-Topiaco Chips",false,false,"Chips",1,0,0,"KG",400,0,0,5,,""
"XzrlJRyEBJo3DOC6qNwm","Chips-Vazhakkai Chips",false,false,"Chips",10,2188.6908,218.8691,"KG",625,875.4764,2.8556,4,,"Hotbox: TC"
"qz1fAlsX6JBn1eu2li6n","Chutney - Chow Chow",false,false,"Chutney",0.666,39.003,58.5631,"KG",0,292.8155,0,5,,""
"zfpViFxxiUFfNiqWrmj1","Chutney - Coconut Chutney",false,false,"Chutney",10,622.64,62.264,"KG",0,311.32,6.8026,5,,"Hotbox: TC"
"MwoMmSEQccpXasX8VK13","Chutney - Coconut Chutney Late",false,false,"Chutney",10,622.64,62.264,"KG",0,311.32,0,5,,"Hotbox: TC"
"d2vrkPvRO3wlqVGM9BwV","Chutney - Cucumber Chutney",false,false,"Chutney",0.5,33.102,66.204,"KG",0,331.02,0,5,,""
"uV3DroUku0989a0dUsAF","Chutney - Kasi Milagaai",false,false,"Chutney",10,811.98,81.198,"KG",300,247.992,4.8389,4,,"Non Insulated: Thooku"
"lPejVugxHgq8ueEZFqCz","Chutney - Malli (WO Coconut)",false,false,"Chutney",7,455.65,65.0929,"KG",0,325.4645,0,5,,"Non Insulated: Thooku"
"chaA9lAjUSADXXJRlH6t","Chutney - Malli (WO Onion)",false,false,"Chutney",7,562.35,80.3357,"KG",0,401.6785,0,5,,"Non Insulated: Thooku"
"J5Ow1hg88pIeg4sXYhp2","Chutney - No Onion, Tomato Chutney",false,false,"Chutney",3.4,126.256,37.1341,"KG",0,185.6705,0,5,,""
"D6Wjqjhis205H7CNG11r","Chutney - No Tomato Thuvayal",false,false,"Chutney",5.3,569.115,107.3802,"KG",0,536.901,0,5,,""
"uTpDblAhhs41lyv169cc","Chutney - Onion Kara Chutney",false,false,"Chutney",0.5,24.12,48.24,"KG",0,241.2,0,5,,""
"bQIIJe4PlK8GKcEnwYkQ","Chutney - Poondu Chutney",false,false,"Chutney",0.19,13.089,68.8895,"KG",0,249.7105,0,5,,""
"1fOFc9Gg1YgsEGCgMYGS","Chutney - Porichu Vaitha Chutney",false,false,"Chutney",0.5,40.158,80.316,"KG",0,401.58,0,5,,""
"eH7LXDoIKjoLLvQ2gKcb","Chutney - Pudhina (WO Coconut)",false,false,"Chutney",8,480.8,60.1,"KG",0,300.5,0,5,,"Non Insulated: Thooku"
"NhEhEM0nXJZt1Cdqj6ts","Chutney - Staff Chutney",false,false,"Chutney",1,0,0,"LT",1,0,0,5,,""
"gf3GH3XVWYnD7K49f4L9","Chutney - Tanger",false,false,"Chutney",10,1007.922,100.7922,"KG",1,503.961,0.0099,5,,"Non Insulated: Thooku"
"71BadIgzCgx8X0BAEnDh","Chutney- Andhra Milagai chutney",false,false,"Chutney",6,302.93,50.4883,"KG",0,252.4415,0,5,,""
"t57JODAKRAIywsTQtGbC","Chutney- Kadhamba Chutney",false,false,"Chutney",10,610.193,61.0193,"KG",0,305.0965,2.509,5,,"Hotbox: TC"
"kiaHkvExXrfr6Rt3PQlV","Chutney- Malli",false,false,"Chutney",14,821.57,58.6836,"KG",0,293.418,2.6404,5,,"Non Insulated: Thooku"
"abPwOgL0xJe30N0jUiLb","Chutney- Mint",false,false,"Chutney",11.5,524.27,45.5887,"KG",0,227.9435,2.7968,5,,"Non Insulated: Thooku"
"oQd0OmiqrBXCnBFavks4","Chutney- Silica Milagai Chutney",false,false,"Chutney",5.25,280.9261,53.5097,"KG",1,267.5485,0.0187,5,,"Hotbox: ID"
"Rliu3BllEm2ekmquPL8Y","Chutney- Tomato Chutney",false,false,"Chutney",10,456.2401,45.624,"KG",0,228.12,3.6064,5,,"Hotbox: TC"
"2iO9kMWT92yolGEqg4EN","Chutney-Company Kadhamba Chutney",false,false,"Chutney",11,603.988,54.908,"KG",0,274.54,3.4408,5,,"Non Insulated: Thooku"
"Zvbp9mYT8b79lY8HU56m","Chutney-Online Coconut Chutney",false,false,"Chutney",10,549.54,54.954,"KG",0,274.77,2.9354,5,,"Hotbox: TC"
"PolnzFg5PLDG5FQjbEHs","Chutney-Peanut Chutney",false,false,"Chutney",10.4,510.107,49.0488,"KG",0,245.244,4.1899,5,,"Hotbox: TC"
"pyfVSuFe7TT1EGbObX9f","Chutney-Red chilli, Coconut Chutney",false,false,"Chutney",12,642.67,53.5558,"KG",0,267.779,0,5,,"Hotbox: ID"
"xxSAvSeEJWeYz0LQvoLV","Cooker Pasiparupu Pachadi",false,false,"Tiffen Sambar",11.4,244.6546,21.4609,"KG",0,107.3045,0,5,,"Hotbox: ID"
"KVUZ3YwTAF1dhN51PCeM","Cucumber Raita",false,false,"Raita",10,595.4,59.54,"KG",0,297.7,0.0169,5,,""
"p9zWMGaL7SEBMdzUU5fy","Cup",false,false,"Service Items",1,0,0,"NOS",0,0,0,5,,""
"FHkTOK1r1YKcZolVyW9D","Cutlet - Lobia Cutlet",false,false,"Cutlet",27,119.323,4.4194,"NOS",25,22.097,5.6569,5,,""
"An0yqkKt2okVp3lkasq2","Cutlet - Seppangizhangu Cutlet",false,false,"Cutlet",10,0,0,"NOS",0,0,0,5,,""
"521i45h9VXVZjJL7c0zR","Cutlet- Veg cutlet Coating",false,true,"Cutlet",100,70.73,0.7073,"NOS",0,3.5365,0,5,,""
"QGxj99O6RaCbgJ2HoIH3","Cutlet-Navadhanya Cutlet",false,false,"Cutlet",140,309.015,2.2072,"NOS",25,9.0192,11.0875,4,,"Non Insulated: Tray"
"AbJjkpAvFJJwAjmSVWTv","Cutlet-Noodles Cutlet",false,false,"Cutlet",120,517.1116,4.3093,"NOS",25,21.5465,5.8014,5,,"Non Insulated: Tray"
"Q7x84BKCInKZhBTMFo6s","Cutlet-Paneer ",false,false,"Cutlet",110,560.048,5.0913,"NOS",25,25.4565,4.9103,5,,"Non Insulated: Tray"
"RWv5b6OCGBmyFy1R5JIU","Cutlet-Sprouts cutlet",false,false,"Cutlet",100,446.618,4.4662,"NOS",25,22.331,5.5976,5,,""
"Skc1NpXeojWbNltOiyAm","Cutlet-Sweet Corn cutlet",false,false,"Cutlet",136,455.37,3.3483,"NOS",25,16.7415,7.4665,5,,""
"wFUaaCCrrDVrG9Xf4O1P","Cutlet-Veg Cutlet",false,false,"Cutlet",135,512.494,3.7963,"NOS",25,18.9815,6.5854,5,,"Non Insulated: Tray"
"ohfwOoQm1JZtDz6VoKwN","D.F -Chilli Parota",false,false,"Deep Fry",10,0,0,"NOS",30,0,0,5,,""
"pQBwLLarDde1fbdE1ZC4","DF - Beetroot Kola Urundai",false,false,"Deep Fry",28,142.897,5.1035,"NOS",10,25.5175,1.9594,5,,""
"2yC6DMggRXyfcPRdZEiZ","DF - Corn Pakora",false,false,"Starter",10,2497.4924,249.7492,"KG",1100,1138.746,4.4044,5,,"Hotbox: HB"
"9WF8dmH6BhicIMDDoAzH","DF - Kadalai Maavu Veg Bonda",false,false,"Deep Fry",100,472.7741,4.7277,"NOS",25,23.6385,5.288,5,,"Non Insulated: Tray"
"WkEHv3aLoFrHYXVjAzYW","DF - Kuruvai Arisi Paniyaram",false,false,"Deep Fry",100,287.708,2.8771,"NOS",15,11.5084,5.2136,4,,"Hotbox: HB"
"IPT09gDXyKg8BcQ4LlLv","DF - Kuzhi Paniyaram SW Coconut",false,false,"Sweet Piece",200,615.7125,3.0786,"NOS",6,15.3995,1.9489,5,,""
"z2WGvhwIx0KHlRnTdWNB","DF - Marakarikaai Dosai",false,false,"Piece Main Dish",12,31.3141,2.6095,"NOS",20,13.0475,7.6643,5,,""
"wnZh36TgiJkLfIwWQAet","DF - Masal Siyum Small",false,false,"Deep Fry",150,319.3287,2.1289,"NOS",12.5,10.6445,5.8716,5,,"Non Insulated: Tray"
"iswdqA7tUwbffKStfuQU","DF - Mysore Bonda (N)",false,false,"Deep Fry",21,66.1966,3.1522,"NOS",25,15.761,7.931,5,,""
"02P4NwPgsQU9fGrKkiVs","DF - Online Masal Siyum",false,false,"Deep Fry",150,319.3287,2.1289,"NOS",25,10.6445,11.7432,5,,"Non Insulated: Tray"
"A8RdNX1MXtrnL6NLfRFx","DF - Soya Kola (Uma)",false,false,"Deep Fry",35,56.908,1.6259,"NOS",12,8.1295,7.3805,5,,""
"cb58g0sgPNitPbJjIQuB","DF - Soya Kola Urundai",false,false,"Cutlet",10,12.684,1.2684,"NOS",6,6.342,4.7304,5,,""
"MzpZi0GN7TU2ZiEux4Fp","DF - Vazhaikaai Kola Urundai",false,false,"Deep Fry",28,134.897,4.8177,"NOS",10,24.0885,2.0757,5,,""
"GOX03zclTiqIbKBlHMEM","DF - Vellai Paniyaram",false,false,"Deep Fry",100,312.3782,3.1238,"NOS",25,15.619,8.0031,5,,"Hotbox: HB"
"pxdONqtpsE6saAdzyQsm","DF - Wheat Rava Paniyaram",false,false,"Deep Fry",30,49.539,1.6513,"NOS",6,8.2565,3.6335,5,,""
"vqp0a0V80lfN2U6MQ87Z","DF- Mysore Bonda",false,false,"Deep Fry",90,370.7099,4.119,"NOS",25,20.595,6.0694,5,,"Non Insulated: Tray"
"N82bIkPBS2OUfGvwRbuD","DF- Seepu Seedai",false,false,"Deep Fry",10,1930.8143,193.0814,"KG",0,965.407,0,5,,""
"RJgwEM512ax7Zmr9T4dk","DF- Seepu Seedai Mavu",false,true,"Deep Fry",15.5,1065,68.7097,"KG",0,343.5485,0,5,,""
"1OcGcU4nOBSatkROKH8P","DF-Baked Veg Vadai",false,false,"Deep Fry",187,187.924,1.0049,"NOS",4,5.0245,3.9805,5,,""
"Ef807du6jVyIuk0O4tiG","DF-Kuzhi Paniyaram",false,false,"Deep Fry",140,154.9965,1.1071,"NOS",6,5.539,5.4196,5,,"Hotbox: HB"
"bmP3CaKrDhxlAwAeGWJ0","DF-Kuzhi Paniyaram Veg Stuffed",false,false,"Piece Main Dish",250,380.57,1.5223,"NOS",6,7.6115,3.9414,5,,"Non Insulated: Tray"
"h6AjR1hxFWoeFmpNSoOU","DF-Milagai Bajji",false,false,"Deep Fry",100,311.6833,3.1168,"NOS",15,10.3072,5.8212,4,,""
"EVNLx5xiReipvKhyVzDd","DF-Onion Bajji",false,false,"Deep Fry",100,416.356,4.1636,"NOS",15,20.818,3.6027,5,,""
"WNl33g9oZ1iMYCx4DqNV","DF-Onion Bajji (global)",false,false,"Deep Fry",100,427.106,4.2711,"NOS",15,17.0844,3.512,4,,""
"cRrLm3leqsA6NvtA2A3o","DF-Potato Bajji",false,false,"Deep Fry",100,401.7583,4.0176,"NOS",15,16.0704,3.7336,4,,""
"xGRMkfjfYxgGbKT4heAO","DF-Potato Bonda(BM)",false,false,"Deep Fry",100,451.1523,4.5115,"NOS",25,18.046,5.5414,4,,""
"JxSNxCcYqGozpAHFdwMJ","DF-Potato bonda(Rice)",false,false,"Deep Fry",100,340.2876,3.4029,"NOS",25,13.6116,7.3467,4,,"Non Insulated: Tray"
"DWTlFBxKcTmEz9HmP4Ja","DF-Sweet Corn Bonda",false,false,"Deep Fry",120,351.603,2.93,"NOS",25,14.65,8.5324,5,,"Non Insulated: Tray"
"FJDjl87unmhu7WD8Jq5U","DF-Thool Bajji",false,false,"Deep Fry",100,674.195,6.7419,"NOS",0,33.7095,0,5,,""
"rcdXHtH2DrozWQnmJHZm","DF-Vazhakkai Bajji",false,false,"Deep Fry",100,324.8805,3.2488,"NOS",15,16.244,4.6171,5,,""
"CmAP3SzEjVkLsaNGSvcI","DF-Veg Pakora",false,false,"Deep Fry",0.35,56.955,162.7286,"KG",0,813.643,0,5,,""
"1ZFAbtK5Rrl7rZFJHx96","DF-Veg Spring Roll",false,false,"Deep Fry",100,466.061,4.6606,"NOS",20,23.303,4.2913,5,,""
"MRpSQiW7UvoDwgqFHJ2v","DF-Vegetable Vadai",false,false,"Deep Fry",100,344.076,3.4408,"NOS",15,13.7632,4.3595,4,,""
"ylh9pWB0dnxgYK0CF2Dl","DP- Baby corn, Mushroom Fry Mavu",false,true,"Maavu",10,433.9,43.39,"KG",0,173.56,0,4,,""
"CDVKRDxGiqOs7GFzRrNw","DP-Garlic Podi",false,true,"Powder",10,2052.54,205.254,"KG",0,1026.27,0,5,,""
"RW5F5swI0kYcLPdUQWZg","Dakshin DP - Sambar Podi I",false,true,"Powder",10,1493.83,149.383,"KG",1,597.532,0.0067,4,,""
"XwO9hzxUJtFsYA2XvMwi","Dakshin KK - Spicy Tamarind Kuzhambu",false,false,"Kara Kozhambu",10,313.5492,31.3549,"KG",200,156.7745,6.3786,5,,"Hotbox: ID"
"QBYTDDHTMi6vuob1YZFE","Dakshin KK - Spicy Tamarind Kuzhambu Sesoning",false,true,"Kara Kozhambu",10,107.52,10.752,"KG",1,43.008,0.093,4,,""
"gW8bUihT4sZPu89XRy0R","Dal - :Lausini Dal",false,false,"Dal",10,607.944,60.7944,"KG",150,243.1776,2.4673,4,,"Hotbox: ID"
"xfXmWfuMTfCdXs1J2z1w","Dal - Arhar Dal",false,false,"Dal",135,6793.55,50.3226,"KG",1,251.613,0.0199,5,,""
"T6QNTaX8lHTPlFdW0x6L","Dal - Channa Masala Dal",false,false,"Dal",1,47.614,47.614,"KG",500,238.07,10.5011,5,,""
"AzcGkq0LDv7djxXTChB9","Dal - Chef Spl. Dal",false,false,"Dal",10,639.1086,63.9109,"KG",200,319.5545,3.1294,5,,"Hotbox: ID"
"PQQHIAsNx6wezetiRSTN","Dal - Chef Spl. Kaali Dal",false,false,"Dal",10,455.5834,45.5583,"KG",200,182.2332,4.39,4,,"Hotbox: ID"
"XacGFPmx0ukiPOcjTK93","Dal - Chow Chow",false,false,"Dal",8,718.6,89.825,"KG",0,449.125,0,5,,""
"47IDmdWmGsldFvuL0iBw","Dal - Dhabawali Dal",false,false,"Dal",11.4,513.328,45.0288,"KG",150,207.6,3.3312,5,,"Hotbox: ID"
"Ik4qBBbwHFYzx21v34EJ","Dal - Lauki",false,false,"Dal",0.65,19.982,30.7415,"KG",0,153.7075,0,5,,""
"s9bTtNMErewNi4wkKFLs","Dal - Panchamela Dal",false,false,"Dal",10,328.333,32.8333,"KG",150,131.3332,4.5685,4,,"Hotbox: ID"
"JvdQfrAv3UzpRPj5QWtN","Dal - Panchphoran Dal",false,false,"Dal",10,314.801,31.4801,"KG",150,110.6204,5.424,4,,"Hotbox: ID"
"HifFUT60NjMlX87cIICR","Dal - Rajasthani Dal",false,false,"Dal",10,332.056,33.2056,"KG",150,134.8224,4.5173,4,,"Hotbox: ID"
"Ig3AA0ZBgJ935lYSOz3M","Dal -Peeli Moong Dal",false,false,"Dal",10,359.636,35.9636,"KG",150,143.8544,4.1709,4,,"Hotbox: ID"
"rcIiqZUfXCHb5JOr01PM","Dal- Dl Makhani",false,false,"Dal",10,516.8831,51.6883,"KG",200,258.4415,3.8693,5,,"Hotbox: ID"
"jm8s2ZQDXre8Nhq1pOkI","Dal- Pasi Payaru Dal",false,false,"Dal",10,395.0883,39.5088,"KG",150,158.0352,3.7966,4,,"Hotbox: ID"
"H9OwYWim6Hmtb70gOSp2","Dal-Dal Palak",false,false,"Dal",10,347.548,34.7548,"KG",200,126.2192,5.7546,4,,"Hotbox: ID"
"OEW3DxCdpZlpOgjGDEMb","Dal-Dal Tadka",false,false,"Dal",10,288.1444,28.8144,"KG",150,144.072,5.2057,5,,"Hotbox: ID"
"VFJnjXw7hNFVyc1cV5Wk","Dal-Drumstick Leaf Dal",false,false,"Dal",10,515.975,51.5975,"KG",150,206.39,2.9071,4,,"Hotbox: ID"
"eGyUW1luVvWqemzo1Dyv","Dal-Green Gram Dal",false,false,"Dal",10,421.142,42.1142,"KG",150,148.1176,3.5617,4,,"Hotbox: ID"
"sq3W3pPPJxCQ3EU5QFD9","Dal-Lahsooni Dal",false,false,"Dal",16,1001.665,62.6041,"KG",0,313.0205,0,5,,""
"4TJj2TQ3NphpCSsbQbqE","Dal-Lauki Chana Dal",false,false,"Subji",10,420.686,42.0686,"KG",1000,178.093,23.7707,5,,""
"LOv7MPilqT5D6vaN5RoW","Dal-Mango Dal",false,false,"Dal",10,610.15,61.015,"KG",150,244.06,2.4584,4,,"Hotbox: ID"
"whTs0UYF5fnsTMhxC7nx","Dal-Mooli Moong Dal",false,false,"Dal",10,446.2056,44.6206,"KG",150,223.103,3.3617,5,,"Hotbox: ID"
"qSvHTjq5IYEjqJmWzBoL","Dal-Pumpkin Dal",false,false,"Dal",10,378.963,37.8963,"KG",150,151.5852,3.9582,4,,"Hotbox: ID"
"S2F0Vr5UWKNR4hjpeLJ3","Dal-Pumpkin Dal thalippu",false,true,"Dal",10,99.838,9.9838,"KG",0,39.9352,0,4,,""
"37FMOxSr0N4pVeWOhXuC","Dal-Tomato Pappu",false,false,"Dal",10,448.5521,44.8552,"KG",150,234.276,3.2014,5,,"Hotbox: ID"
"EUc2Gr41F2a3Vw6ifpqD","Dal-Trivethi Dal",false,false,"Dal",10,383.5024,38.3502,"KG",150,191.751,3.9113,5,,"Hotbox: ID"
