English Name,Tamil Name
Chutney-Online Coconut Chutney,Chutney - ஆன்லைன் தேங்காய் சட்னி
Chutney-Peanut Chutney,Chutney - வேர்க்கடலை சட்னி
"Chutney-Red chilli, Coconut Chutney","Chutney - சிவப்பு மிளகாய், தேங்காய் சட்னி"
Cooker Pasiparupu Pachadi,குக்கர் பாசிப்பருப்பு பச்சடி
Cucumber Raita,வெள்ளரிக்காய் ராய்த்தா
Cup,கப்
Cutlet - Lobia Cutlet,Cutlet - காராமணி கட்லெட்
Cutlet - Seppangizhangu Cutlet,Cutlet - சேப்பங்கிழங்கு கட்லெட்
Cutlet- Veg cutlet Coating,Cutlet - காய்கறி கட்லெட் கோட்டிங்
Cutlet-Navadhanya Cutlet,Cutlet - நவதானிய கட்லெட்
Cutlet-Noodles Cutlet,Cutlet - நூடுல்ஸ் கட்லெட்
Cutlet-Paneer,Cutlet - பன்னீர்
Cutlet-Sprouts cutlet,Cutlet - முளைகட்டிய பயறு கட்லெட்
Cutlet-Sweet Corn cutlet,Cutlet - இனிப்பு கார்ன் கட்லெட்
Cutlet-Veg Cutlet,Cutlet - காய்கறி கட்லெட்
D.F -Chilli Parota,D.F - மிளகாய் பரோட்டா
DF - Beetroot Kola Urundai,DF - பீட்ரூட் கோலா உருண்டை
DF - Corn Pakora,DF - கார்ன் பக்கோடா
DF - Kadalai Maavu Veg Bonda,DF - கடலை மாவு காய்கறி போண்டா
DF - Kuruvai Arisi Paniyaram,DF - குருவை அரிசி பணியாரம்
DF - Kuzhi Paniyaram SW Coconut,DF - குழி பணியாரம் தேங்காய்
DF - Marakarikaai Dosai,DF - மரக்கறிக்காய் தோசை
DF - Masal Siyum Small,DF - மசால் சீயம் சின்ன
DF - Mysore Bonda (N),DF - மைசூர் போண்டா (N)
DF - Online Masal Siyum,DF - ஆன்லைன் மசால் சீயம்
DF - Soya Kola (Uma),DF - சோயா கோலா (உப்புமா)
DF - Soya Kola Urundai,DF - சோயா கோலா உருண்டை
DF - Vazhaikaai Kola Urundai,DF - வாழைக்காய் கோலா உருண்டை
DF - Vellai Paniyaram,DF - வெள்ளை பணியாரம்
DF - Wheat Rava Paniyaram,DF - கோதுமை ரவா பணியாரம்
DF- Mysore Bonda,DF - மைசூர் போண்டா
DF- Seepu Seedai,DF - சீப்பு சீடை
DF- Seepu Seedai Mavu,DF - சீப்பு சீடை மாவு
DF-Baked Veg Vadai,DF - பேக் செய்த காய்கறி வடை
DF-Kuzhi Paniyaram,DF - குழி பணியாரம்
DF-Kuzhi Paniyaram Veg Stuffed,DF - குழி பணியாரம் காய்கறி ஸ்டஃப்டு
DF-Milagai Bajji,DF - மிளகாய் பஜ்ஜி
DF-Onion Bajji,DF - வெங்காயம் பஜ்ஜி
DF-Onion Bajji (global),DF - வெங்காயம் பஜ்ஜி (குளோபல்)
DF-Potato Bajji,DF - உருளைக்கிழங்கு பஜ்ஜி
DF-Potato Bonda(BM),DF - உருளைக்கிழங்கு போண்டா(பால்)
DF-Potato bonda(Rice),DF - உருளைக்கிழங்கு போண்டா(சாதம்)
DF-Sweet Corn Bonda,DF - இனிப்பு கார்ன் போண்டா
DF-Thool Bajji,DF - தூள் பஜ்ஜி
DF-Vazhakkai Bajji,DF - வாழைக்காய் பஜ்ஜி
DF-Veg Pakora,DF - காய்கறி பக்கோடா
DF-Veg Spring Roll,DF - காய்கறி ஸ்பிரிங் ரோல்
DF-Vegetable Vadai,DF - காய்கறி வடை
"DP- Baby corn, Mushroom Fry Mavu","DP - பேபி கார்ன், காளான் வறுவல் மாவு"
DP-Garlic Podi,DP - பூண்டு பொடி
Dakshin DP - Sambar Podi I,Dakshin DP - சாம்பார் பொடி I
Dakshin KK - Spicy Tamarind Kuzhambu,Dakshin KK - காரசாரமான புளி குழம்பு
Dakshin KK - Spicy Tamarind Kuzhambu Sesoning,Dakshin KK - காரசாரமான புளி குழம்பு தாளிப்பு
Dal - :Lausini Dal,Dal - லசுனி பருப்பு
Dal - Arhar Dal,Dal - துவரம் பருப்பு
Dal - Channa Masala Dal,Dal - சென்னா மசாலா பருப்பு
Dal - Chef Spl. Dal,Dal - செஃப் Spl. பருப்பு
Dal - Chef Spl. Kaali Dal,Dal - செஃப் Spl. காளி பருப்பு
Dal - Chow Chow,Dal - சௌசௌ சௌசௌ
Dal - Dhabawali Dal,Dal - தாபாவாலி பருப்பு
Dal - Lauki,Dal - சுரைக்காய்
Dal - Panchamela Dal,Dal - பஞ்சமேல் பருப்பு
Dal - Panchphoran Dal,Dal - பஞ்சபோரன் பருப்பு
Dal - Rajasthani Dal,Dal - ராஜஸ்தானி பருப்பு
Dal -Peeli Moong Dal,Dal - பீலி பாசி பருப்பு
Dal- Dl Makhani,Dal - பருப்பு மக்கானி
Dal- Pasi Payaru Dal,Dal - பாசி பயறு பருப்பு
Dal-Dal Palak,Dal - பருப்பு பாலக்
Dal-Dal Tadka,Dal - பருப்பு தாளிப்பு
Dal-Drumstick Leaf Dal,Dal - முருங்கைக்காய் இலை பருப்பு
Dal-Green Gram Dal,Dal - பச்சை கடலை பருப்பு
Dal-Lahsooni Dal,Dal - லசுனி பருப்பு
Dal-Lauki Chana Dal,Dal - சுரைக்காய் சுண்டல் பருப்பு
Dal-Mango Dal,Dal - மாங்காய் பருப்பு
Dal-Mooli Moong Dal,Dal - முள்ளங்கி பாசி பருப்பு
Dal-Pumpkin Dal,Dal - பரங்கிக்காய் பருப்பு
Dal-Pumpkin Dal thalippu,Dal - பரங்கிக்காய் பருப்பு தாளிப்பு
Dal-Tomato Pappu,Dal - தக்காளி பருப்பு
Dal-Trivethi Dal,Dal - திரிவேணி பருப்பு
Dal-Whole Masur Dal,Dal - முழு மைசூர் பருப்பு பருப்பு
Df-Vegetable Bonda,Df - காய்கறி போண்டா
Don't Use -Order Chapathy,Don't பயன்படுத்த -ஆர்டர் சப்பாத்தி
Dosa - Chinna Cholam Dosai,Dosa - சின்ன சோளம் தோசை
Dosa - Cucumber Dosa,Dosa - வெள்ளரிக்காய் தோசை
Dosa - Kattuyanam,Dosa - காட்டுயானம்
Dosa - Keppai Dosa,Dosa - கேப்பை தோசை
Dosa - Mudakathan,Dosa - முடக்கத்தான்
Dosa - Mushroom Masal Dosa,Dosa - காளான் மசால் தோசை
Dosa - Rava Dosa,Dosa - ரவா தோசை
Dosa - Sweet Corn Masal Dosai,Dosa - இனிப்பு கார்ன் மசால் தோசை
Dosa - Varagu Sweet Corn Masal Dosa,Dosa - வரகு இனிப்பு கார்ன் மசால் தோசை
Dosa - Vegetable Masala Dosa,Dosa - காய்கறி மசாலா தோசை
Dosa- Moong Dal Dosa,Dosa - பாசி பருப்பு தோசை
Dosa- Multigrain Dosa,Dosa - மல்டிகிரைன் தோசை
Dosa- Traditional Rice Dosa,Dosa - பாரம்பரிய சாதம் தோசை
Dosa- Vendhaya Dosa,Dosa - வெந்தய தோசை
Dosa-Chola Dosa,Dosa - சோள தோசை
Dosa-Javvarisi Dosa,Dosa - ஜவ்வரிசி தோசை
Dosa-Kal Dosa,Dosa - கல் தோசை
Dosa-Kambu Dosa,Dosa - கம்பு தோசை
Dosa-Kambu Masal Dosa,Dosa - கம்பு மசால் தோசை
Dosa-Mini Uthappam,Dosa - மினி ஊத்தப்பம்
Dosa-Mysore Masal Dosa Chutney,Dosa - மைசூர் மசால் தோசை சட்னி
Dosa-Mysore Masal Dosa Masala,Dosa - மைசூர் மசால் தோசை மசாலா
Dosa-Mysore Masala Dosa,Dosa - மைசூர் மசாலா தோசை
Dosa-Pesarattu Dosa,Dosa - பெசரட்டு தோசை
Dosa-Samai Dosa,Dosa - சாமை தோசை
Dosa-Sponge Dosa,Dosa - ஸ்பாஞ்ச் தோசை
Dosa-Wheat Dosa,Dosa - கோதுமை தோசை
Dosai Maavu,தோசை மாவு
Dry Manchurian - Sauce,Dry Manchurian - சாஸ்
Dry Manchurian - Veg,Dry Manchurian - காய்கறி
"Dry Subji - Aloo, Bindi Sukka","Dry Subji - உருளைக்கிழங்கு, வெண்டைக்காய் சுக்கா"
Elaneer Halwa,இளநீர் அல்வா
Filter Coffee Decoction,வடிகட்டிய காபி டிக்காக்ஷன்
Flask,பிளாஸ்க்
Fruit - HF,Fruit - ஹெச்.எஃப்
Fruit- Yelakki Banana,Fruit - ஏலக்கி வாழைப்பழம்
Fruit-Banana,Fruit - வாழைப்பழம்
G Dal-Channa Dal,G Dal - சென்னா பருப்பு
G Dal-Konkani Dal,G Dal - கொங்கணி பருப்பு
GRB-Veg Briyani Basmathi,GRB - காய்கறி பிரியாணி பாசுமதி
Garbage Cover,குப்பை உறை
Garlic Podi Idiyappam,பூண்டு பொடி இடியாப்பம்
Gravy Manchurian - Sauce,Gravy Manchurian - சாஸ்
Gravy Manchurian - Veg,Gravy Manchurian - காய்கறி
Gutti Vankaya Curry,குத்தி வங்காய கறி
Gutti Vankaya Curry Grinding,குத்தி வங்காய கறி அரைவை
Gutti Vankaya Curry Tempering,குத்தி வங்காய கறி தாளிப்பு
HB - Badham Milk,HB - பாதாம் பால்
HB - Karkandu,HB - கற்கண்டு
HB - Masala Paal,HB - மசாலா பால்
HB - Masala Paal Podi,HB - மசாலா பால் பொடி
HB - Milk,HB - பால்
HB - Panakarkandu Milk,HB - பனங்கற்கண்டு பால்
HB-Decoction,HB - டிக்காக்ஷன்
HB-Sukku Paal,HB - சுக்கு பால்
HOS - Barley Water,HOS - பார்லி தண்ணீர்
HOS - Boiled Vegetables,HOS - வேகவைத்த காய்கறிகள்
HOS - Dhal Water,HOS - பருப்பு தண்ணீர்
HOS - Oats,HOS - ஓட்ஸ்
HOS - Paneer Bhurji,HOS - பன்னீர் புர்ஜி
HOS - Thin Curd Rice,HOS - மெல்லிய தயிர் சாதம்
HOS - Thin Dhal Rice,HOS - மெல்லிய பருப்பு சாதம்
HOS - Thin Rasam Rice,HOS - மெல்லிய ரசம் சாதம்
HOS -TUBE KANJI,HOS - டியூப் கஞ்சி
HOS Soup - Clear Veg. Soup,HOS Soup - க்ளியர் Veg. சூப்
HOSPITAL PARCEL,மருத்துவமனை பார்சல்
HOT WATER,சூடான தண்ணீர்
Halwa - Badham Halwa,Halwa - பாதாம் அல்வா
Halwa - Beetroot,Halwa - பீட்ரூட்
Halwa - Beetroot Dhumroot,Halwa - பீட்ரூட் தும்ரூட்
Halwa - Bread,Halwa - பிரெட்
Halwa - Carrot,Halwa - கேரட்
Halwa - Carrot (prepared),Halwa - கேரட் (தயாரிக்கப்பட்டது)
Halwa - Parangikaai Plain Halwa,Halwa - பரங்கிக்காய் ப்ளெய்ன் அல்வா
Halwa - Poosani,Halwa - பூசணி
Halwa - Red Pumpkin Dhumroot Halwa,Halwa - சிவப்பு பரங்கிக்காய் தும்ரூட் அல்வா
Halwa - Wheat,Halwa - கோதுமை
Halwa- Carrot Dhumroot Halwa,Halwa - கேரட் தும்ரூட் அல்வா
Halwa- Karuppatti Halwa,Halwa - கருப்பட்டி அல்வா
Halwa- Poosani(Kasi) Halwa,Halwa - பூசணி(காசி) அல்வா
Halwa-Kasi Halwa (Dhumroot),Halwa - காசி அல்வா (தும்ரூட்)
Hatsun Curd,ஹட்சன் தயிர்
Hospital Rasam Rice,மருத்துவமனை ரசம் சாதம்
Hotel Sambar,ஹோட்டல் சாம்பார்
Hotel Sambar Podi,ஹோட்டல் சாம்பார் பொடி
IIaneer Payasam,இளநீர் பாயாசம்
IK - Ilan Kuzhambu,IK - இளநீர் குழம்பு
IK - Ilan Kuzhambu Avaraikaai,IK - இளநீர் குழம்பு அவரைக்காய்
IK - Ilan Kuzhambu Beans,IK - இளநீர் குழம்பு பீன்ஸ்
IK - Ilan Kuzhambu Malli,IK - இளநீர் குழம்பு மல்லி
IK - Ilan Kuzhambu Vendikkaai,IK - இளநீர் குழம்பு வெண்டைக்காய்
Idly- Kattu Yanam,Idly - கட்டு யானம்
Iyer Rasam Thalippu,ஐயர் ரசம் தாளிப்பு
Juice - Nannar Sarbath,Juice - நன்னாரி சர்பத்
Juice - Panakkam,Juice - பானகம்
Juice - Welcome Drink,Juice - வெல்கம் பானம்
Juice- tang Mango,Juice - டாங் மாங்காய்
KESARI,கேசரி
KK - Araithu Vitta Kathirikaai Kuzhambu,KK - அரைத்து விட்ட கத்தரிக்காய் குழம்பு
KK - Araithu Vitta Kathirikaai Kuzhambu Aravai,KK - அரைத்து விட்ட கத்தரிக்காய் குழம்பு அரைவை
"KK - Bittergourd, Dates, Greenchilly Kuzhambu","KK - பாகற்காய், பேரீச்சம்பழம், பச்சை மிளகாய் குழம்பு"
KK - Brinjal Ketti Kuzhambu Aravai,KK - கத்தரிக்காய் கெட்டி குழம்பு அரைவை
"KK - Brinjal, Drumstick Puli Kuzhambu Aravai","KK - கத்தரிக்காய், முருங்கைக்காய் புளி குழம்பு அரைவை"
"KK - Brinjal, Vazhaikaai Puli Kuzhambu Aravai","KK - கத்தரிக்காய், வாழைக்காய் புளி குழம்பு அரைவை"
KK - Chow Chow Payaru Kuzhambu,KK - சௌசௌ சௌசௌ பயறு குழம்பு
KK - Coconut Milk Vathal Kuzhambu,KK - தேங்காய் பால் வற்றல் குழம்பு
"KK - Date, Greenchilly Kuzhambu","KK - பேரீச்சம்பழம், பச்சை மிளகாய் குழம்பு"
"KK - Date, Greenchilly Kuzhambu Aravai","KK - பேரீச்சம்பழம், பச்சை மிளகாய் குழம்பு அரைவை"
KK - Iru Puli Kuzhambu Aravai,KK - இரு புளி குழம்பு அரைவை
KK - Irupuli Kuzhambu,KK - இருபுளி குழம்பு
KK - Iyer Kuzambu Sunda Vathal,KK - ஐயர் குழம்பு சுண்டக்காய் வற்றல்
KK - Iyer Kuzhambu Aravai,KK - ஐயர் குழம்பு அரைவை
KK - Iyer Kuzhambu Manathakkali,KK - ஐயர் குழம்பு மணத்தக்காளி
KK - KOLLU KUZHAMBU ARAVAI,KK - கொள்ளு குழம்பு அரைவை
KK - Karunai Kuzhambu,KK - கருணைக்கிழங்கு குழம்பு
KK - Karuppu Konda Kadalai Kuzhambu,KK - கருப்பு கொண்டை கடலை குழம்பு
KK - Karuppu Konda Kadalai Kuzhambu Aravai,KK - கருப்பு கொண்டை கடலை குழம்பு அரைவை
KK - Kollu Kuzhambu,KK - கொள்ளு குழம்பு
KK - Lady'sfinger Theeyal Aravai,KK - Lady'sfinger தீயல் அரைவை
KK - Mealmaker Ketti Kuzhambu,KK - மீல்மேக்கர் கெட்டி குழம்பு
KK - Milagu Kuzhambu,KK - மிளகு குழம்பு
KK - Mocchai Kuzhambu,KK - மொச்சை குழம்பு
KK - Nilakadalai Vathakuzhambu,KK - நிலக்கடலை வத்தக்குழம்பு
KK - Omam Kuzhambu,KK - ஓமம் குழம்பு
KK - Pakkoda Ketti Kuzhambu,KK - பக்கோடா கெட்டி குழம்பு
KK - Pakkoda Ketti Kuzhambu Aravai,KK - பக்கோடா கெட்டி குழம்பு அரைவை
KK - Paruppu Urundai,KK - பருப்பு உருண்டை
KK - Paruppu Urundai Kuzhambu,KK - பருப்பு உருண்டை குழம்பு
KK - Paruppu Urundai Kuzhambu Aravai,KK - பருப்பு உருண்டை குழம்பு அரைவை
KK - Pasipayaru Kuzhambu,KK - பாசிப்பயறு குழம்பு
KK - Pattani Kuzhambu,KK - பட்டாணி குழம்பு
KK - Puli Kuzhambu,KK - புளி குழம்பு
KK - Saiva Mein Kuzhambu,KK - சைவ மீன் குழம்பு
KK - Sukku Milagu Kuzhambu Thaalippu,KK - சுக்கு மிளகு குழம்பு தாளிப்பு
"KK - Sukku, Milagu Kuzhambu","KK - சுக்கு, மிளகு குழம்பு"
"KK - Sukku, Milagu Kuzhambu Aravai","KK - சுக்கு, மிளகு குழம்பு அரைவை"
KK - Thattapayaru Kuzambu,KK - தட்டப்பயறு குழம்பு
KK - Tomato Ketti Kuzhambu Aravai,KK - தக்காளி கெட்டி குழம்பு அரைவை
KK - Vendhaya Kuzhambu,KK - வெந்தய குழம்பு
KK - Vendhaya Kuzhambu Aravai,KK - வெந்தய குழம்பு அரைவை
KK - Vendhaya Kuzhambu Podi,KK - வெந்தய குழம்பு பொடி
KK - Vendi Vatha Kuzhambu,KK - வெண்டை வற்றல் குழம்பு
KK - Viral Mein Kuzhambu Aravai,KK - விரால் மீன் குழம்பு அரைவை
KK - Viralmein Kuzhambu Mein,KK - விரால் மீன் குழம்பு மீன்
KK- Ennai Brinjal Kuzhambu Aravai,KK - எண்ணெய் கத்தரிக்காய் குழம்பு அரைவை
KK- Ennai Brinjal Kuzhambu thalippu,KK - எண்ணெய் கத்தரிக்காய் குழம்பு தாளிப்பு
KK- Ennai Katharikkai Kuzhambu,KK - எண்ணெய் கத்தரிக்காய் குழம்பு
KK- Thakkali Ketti Kuzhambu,KK - தக்காளி கெட்டி குழம்பு
"KK- Vengayam,Poondu Kuzhambu","KK - வெங்காயம்,பூண்டு குழம்பு"
KK-Company Paruppu Urundai Kuzhambu,KK - கம்பெனி பருப்பு உருண்டை குழம்பு
KK-Karuveppilai Kuzhambu,KK - கருவேப்பிலை குழம்பு
KK-Karuveppilai Kuzhambu Aravai,KK - கருவேப்பிலை குழம்பு அரைவை
KK-Kathari Ketti Kuzhambu,KK - கத்தரிக்காய் கெட்டி குழம்பு
"KK-Kathari,Mangai Puli Kuzhambu","KK - கத்தரிக்காய்,மாங்காய் புளி குழம்பு"
"KK-Kathari,Murungai Puli Kuzhambu","KK - கத்தரிக்காய்,முருங்கை புளி குழம்பு"
"KK-Kathari,Vazhaikkai Puli Kuzhambu","KK - கத்தரிக்காய்,வாழைக்காய் புளி குழம்பு"
"KK-Kathiri, Mochai Vatha Kuzhambu","KK - கத்தரிக்காய், மொச்சை வற்றல் குழம்பு"
KK-Kothavarangaai Kuzhambu,KK - கொத்தவரங்காய் குழம்பு
KK-Pagarkai Kuzhambu,KK - பாகற்காய் குழம்பு
KK-Palakaai Puli Kuzhambu,KK - பலாக்காய் புளி குழம்பு
KK-Parangikai Ketti Kuzhambu,KK - பரங்கிக்காய் கெட்டி குழம்பு
KK-Parangikai Puli Kuzhambu,KK - பரங்கிக்காய் புளி குழம்பு
KK-Paruppu Urundai Extra,KK - பருப்பு உருண்டை கூடுதல்
KK-Thattapayaru Kuzhambu New,KK - தட்டப்பயறு குழம்பு புதிய
KK-Vendaikkai Kuzhambu,KK - வெண்டைக்காய் குழம்பு
KK-Vendaikkai Theeyal,KK - வெண்டைக்காய் தீயல்
KP - Beans Kara Poriyal,KP - பீன்ஸ் கார பொரியல்
KP - Beetroot Masala,KP - பீட்ரூட் மசாலா
"KP - Beetroot, Soya Poriyal","KP - பீட்ரூட், சோயா பொரியல்"
"KP - Beetroot, Sweet Corn Poriyal","KP - பீட்ரூட், இனிப்பு கார்ன் பொரியல்"
KP - Brinjal Coconut Poriyal Aravai,KP - கத்தரிக்காய் தேங்காய் பொரியல் அரைவை
"KP - Brinjal, Drumstick, Thattapayaru Poriyal Aravai","KP - கத்தரிக்காய், முருங்கைக்காய், தட்டப்பயறு பொரியல் அரைவை"
KP - Carrot Kara Poriyal,KP - கேரட் கார பொரியல்
"KP - Carrot, Cauliflower Poriyal","KP - கேரட், காளிஃபிளவர் பொரியல்"
"KP - Carrot, Kudamilagaai Poriyal","KP - கேரட், குடைமிளகாய் பொரியல்"
"KP - Carrot, Mealmaker Perattal","KP - கேரட், மீல்மேக்கர் பிரட்டல்"
"KP - Carrot, Sprouts Kara Poriyal","KP - கேரட், முளைகட்டிய பயறு கார பொரியல்"
KP - Cauliflower Poriyal,KP - காளிஃபிளவர் பொரியல்
"KP - Cauliflower, Channa Poriyal","KP - காளிஃபிளவர், சென்னா பொரியல்"
KP - Gutti Venkaya Karam,KP - குத்தி வெங்காய காரம்
"KP - Kos, Carrot Kara Poriyal","KP - கோஸ், கேரட் கார பொரியல்"
KP - Kovakaai Kara Curry,KP - கோவக்காய் கார கறி
KP - Kovakaai Poriyal,KP - கோவக்காய் பொரியல்
KP - Kovakaai Poriyal (CONVO),KP - கோவக்காய் பொரியல் (காம்போ)
KP - Maravalli Kilangu,KP - மரவள்ளி கிழங்கு
KP - Thattapaiythanga Kara Poriyal,KP - தட்டப்பயத்தங்காய் கார பொரியல்
KP - Urulai Podi Poriyal,KP - உருளைக்கிழங்கு பொடி பொரியல்
KP - Urulai Podi Poriyal Podi,KP - உருளைக்கிழங்கு பொடி பொரியல் பொடி
"KP - Urulai, Carrot Poriyal","KP - உருளைக்கிழங்கு, கேரட் பொரியல்"
"KP - Urulai, Kathiri Podi Curry","KP - உருளைக்கிழங்கு, கத்தரிக்காய் பொடி கறி"
KP - Vazhaikaai Dry Poriyal Aravai,KP - வாழைக்காய் உலர் பொரியல் அரைவை
KP - Vazhaikaai Dry Poriyal Thalippu,KP - வாழைக்காய் உலர் பொரியல் தாளிப்பு
KP - Vazhakaai Dry Poriya,KP - வாழைக்காய் உலர் பொரியல்
KP - Vazhakaai Kara Poriyal,KP - வாழைக்காய் கார பொரியல்
KP - Vendikaai Podi,KP - வெண்டைக்காய் பொடி
KP - Yam Kara Poriyal,KP - சேனைக்கிழங்கு கார பொரியல்
KP - Yennai Vazhaikaai,KP - எண்ணெய் வாழைக்காய்
KP- Cabbage Masala,KP - முட்டைக்கோஸ் மசாலா
"KP- Cabbage, Channa Masala","KP - முட்டைக்கோஸ், சென்னா மசாலா"
"KP- Cabbage, Peas Masala","KP - முட்டைக்கோஸ், பட்டாணி மசாலா"
"KP- Cabbage,Double Beans Poriyal","KP - முட்டைக்கோஸ்,டபுள் பீன்ஸ் பொரியல்"
"KP- Cauliflower, Pachai Pattani Poriyal","KP - காளிஃபிளவர், பச்சை பட்டாணி பொரியல்"
KP- Chinna Urulai Poriyal,KP - சின்ன உருளைக்கிழங்கு பொரியல்
